word, part_of_speech
الـ, part
وَ, conj
فِي, prep
مِن, prep
لِـ, prep
بِـ, prep
عَلَى, prep
أَنَّ, conj
إِلَى, prep
كانَ, v
لا, part
الله, n
أَنْ, conj
عَن, prep
قالَ, v
هذا, pron
مَعَ, prep
الَّتِي, pron
كُلّ, n
هُوَ, pron
فَـ, conj
هذِهِ, pron
أَو, conj
الَّذي, pron
أَنا, pron
يَوْم, n
لَمْ, part
ما, part
إِنَّ, conj
ما, pron
بـِ, part
بَيْنَ, prep
هِيَ, pron
بَعْدَ, prep
يا, part
ذلِكَ, pron
قَدْ, part
آخَر, adj
شَيْء, n
عِنْدَ, prep
أَوَّل, adj
غَيْر, n
إِذا, conj
نَفْس, n
عَرَبِيّ, n
أَيّ, n
رَئِيس, n
عَمَل, n
عَرَفَ, v
بَعْض, n
دَوْلَة, n
كَما, conj
إلَّا, part
أَنْتَ, pron
كَثِير, adj
واحِد, num
لِأَنَّ, conj
لكِنَّ, conj
لَيْسَ, v
جَدِيد, adj
--------------
# Tarek's 500
--------------
# Yara's 500
-------------
# Miral's 500
